ï»¿Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025Updating,2023-24 change_percentage,2014-24 Percentage, 2014-24 Anual Percentage,SAL_CODE21
HUNTINGDALE,659000.0,728000.0,835000.0,924500.0,1132000.0,1010000.0,914000.0,1090000,1299500,1250000,1195000.0,1200000.0,1200000.0,0.0,65.0,5.1,21218
HUNTLY,337500.0,325000.0,355000.0,340000.0,335000.0,357500.0,367500.0,383000,486500,570000,565000.0,561000.0,561000.0,1.0,73.0,5.6,21219
HURSTBRIDGE,482000.0,482000.0,547500.0,614500.0,714000.0,731000.0,700000.0,775000,900000,950000,890500.0,920500.0,920500.0,3.0,91.0,6.7,21223
INDENTED HEAD,390000.0,385000.0,382500.0,395000.0,455000.0,575500.0,606000.0,590000,752500,995000,820000.0,822500.0,822500.0,0.0,114.0,7.9,21229
INGLEWOOD,160000.0,145000.0,200000.0,152500.0,182500.0,180000.0,185000.0,214000,320000,390000,325000.0,330000.0,330000.0,2.0,128.0,8.6,21231
INVERLOCH,431000.0,440000.0,425000.0,442500.0,495000.0,598000.0,590000.0,665000,891000,992500,955000.0,850000.0,850000.0,11.0,93.0,6.8,21235
INVERMAY PARK,378000.0,387000.0,405000.0,377500.0,391000.0,465000.0,475000.0,485000,680000,670000,695000.0,572500.0,572500.0,18.0,48.0,4.0,21237
IRONBARK,277000.0,280000.0,292500.0,365000.0,280000.0,320000.0,304000.0,438500,523000,525000,530000.0,485000.0,485000.0,8.0,73.0,5.6,21241
IRYMPLE,248000.0,228500.0,268000.0,257500.0,291000.0,310000.0,386500.0,354000,431000,455000,500000.0,560000.0,560000.0,12.0,145.0,9.4,21245
IVANHOE,1090000.0,1203000.0,1120000.0,1400000.0,1537500.0,1600000.0,1590000.0,1640000,1900000,1922500,1745000.0,1850000.0,1850000.0,6.0,54.0,4.4,21246
IVANHOE EAST,1310000.0,1513000.0,1535000.0,1764500.0,1975000.0,1914000.0,1775000.0,2055000,2225000,2262500,2286500.0,2512500.0,2512500.0,10.0,66.0,5.2,21247
JACANA,334000.0,342500.0,375000.0,423000.0,571500.0,555000.0,512500.0,555000,626000,642500,593000.0,600000.0,600000.0,1.0,75.0,5.8,21248
JACKASS FLAT,287500.0,345000.0,350500.0,345500.0,299000.0,310000.0,331500.0,401000,460000,520000,515000.0,544000.0,544000.0,6.0,58.0,4.7,21250
JAMIESON,205000.0,210000.0,258500.0,220000.0,266500.0,265000.0,311500.0,345000,410000,625000,582500.0,682000.0,682000.0,17.0,225.0,12.5,21253
JAN JUC,555000.0,595000.0,615000.0,716000.0,850000.0,905000.0,870000.0,964000,1337000,1400000,1290000.0,1250000.0,1250000.0,3.0,110.0,7.7,21254
JEPARIT,80500.0,63000.0,89000.0,124000.0,66500.0,77000.0,81000.0,110000,129000,150000,215000.0,157500.0,157500.0,27.0,150.0,9.6,21265
JUNCTION VILLAGE,312000.0,320000.0,370000.0,389000.0,436000.0,509000.0,483500.0,515000,605000,635000,650000.0,670000.0,670000.0,3.0,109.0,7.7,21277
JUNORTOUN,490000.0,508500.0,417500.0,490000.0,512500.0,506500.0,530000.0,599000,682000,885000,865000.0,822000.0,822000.0,5.0,62.0,4.9,21279
KALIMNA,230000.0,285000.0,300000.0,270000.0,276500.0,326500.0,292500.0,350000,467000,510000,462500.0,385000.0,385000.0,17.0,35.0,3.1,21282
KALKALLO,,450000.0,180000.0,432500.0,529500.0,548000.0,535000.0,555000,606000,645000,630500.0,640000.0,640000.0,2.0,0.0,,21284
KALLISTA,425000.0,465000.0,523000.0,567500.0,676000.0,737500.0,700000.0,715000,910000,1000000,832500.0,865000.0,865000.0,4.0,86.0,6.4,21286
KALORAMA,442500.0,451000.0,496000.0,533000.0,670000.0,686500.0,645000.0,697500,822500,1022500,885000.0,952500.0,952500.0,8.0,111.0,7.8,21287
KANGAROO FLAT,292500.0,300000.0,303000.0,300000.0,310000.0,325000.0,340000.0,380000,465000,535000,500000.0,532000.0,532000.0,6.0,77.0,5.9,21293
KANGAROO GROUND SOUTH,615000.0,655000.0,650000.0,670000.0,853500.0,930000.0,815500.0,970000,1217000,1130000,1100000.0,1138000.0,1138000.0,3.0,74.0,5.7,21294
KANIVA,75000.0,87500.0,100000.0,125000.0,157500.0,164000.0,169500.0,115000,174000,205000,200000.0,231500.0,231500.0,16.0,165.0,10.2,21295
KATUNGA,229000.0,155000.0,156000.0,167500.0,92000.0,180000.0,330000.0,225000,200000,327500,,,,,,,21310
KEALBA,370000.0,390000.0,400000.0,470000.0,595000.0,612000.0,596000.0,600000,660000,705000,670000.0,700000.0,700000.0,4.0,79.0,6.0,21312
KEILOR,572500.0,633000.0,703000.0,805000.0,845000.0,817000.0,836500.0,885000,1070500,1000000,1132500.0,1110000.0,1110000.0,2.0,75.0,5.8,21314
KEILOR DOWNS,403500.0,429000.0,496500.0,562000.0,670000.0,661000.0,630000.0,660000,767500,760500,770000.0,766500.0,766500.0,0.0,79.0,6.0,21315
KEILOR EAST,560000.0,599000.0,651000.0,720000.0,843000.0,830000.0,835000.0,842000,1000000,1000000,990000.0,1055000.0,1055000.0,7.0,76.0,5.8,21316
KEILOR LODGE,490000.0,500000.0,555500.0,607500.0,760000.0,715000.0,740000.0,757500,865000,880000,920000.0,1014500.0,1014500.0,10.0,103.0,7.3,21317
KEILOR PARK,455000.0,512500.0,565000.0,650000.0,741000.0,770000.0,704000.0,735000,820500,892500,795000.0,840000.0,840000.0,6.0,64.0,5.1,21319
KENNINGTON,351500.0,345000.0,334000.0,355000.0,372000.0,383500.0,374000.0,428500,550000,593000,610000.0,575500.0,575500.0,6.0,67.0,5.3,21326
KENSINGTON,690000.0,737500.0,823500.0,908000.0,1019000.0,1020000.0,978000.0,1106500,1165000,1200000,1045000.0,1097000.0,1097000.0,5.0,49.0,4.0,21327
KERANG,152000.0,145000.0,152000.0,167000.0,160000.0,177000.0,170000.0,200000,239000,275500,282500.0,310000.0,310000.0,10.0,114.0,7.9,21328
KEW,1751000.0,1950000.0,2080000.0,2207500.0,2317500.0,2380000.0,2310000.0,2251500,2780000,2920000,2910000.0,2805000.0,2805000.0,4.0,44.0,3.7,21336
KEW EAST,1210000.0,1314000.0,1600000.0,1655000.0,1876000.0,1800000.0,1837000.0,1785000,1990000,2040000,2200000.0,2229000.0,2229000.0,1.0,70.0,5.4,21337
KEYSBOROUGH,435000.0,456500.0,559500.0,650000.0,730000.0,745000.0,735000.0,750000,849000,891000,914000.0,931000.0,931000.0,2.0,104.0,7.4,21339
KIALLA,360000.0,365000.0,367500.0,374000.0,390000.0,418000.0,450000.0,482500,543000,640000,650000.0,670000.0,670000.0,3.0,84.0,6.3,21340
KILCUNDA,375000.0,320000.0,400000.0,480000.0,504000.0,496000.0,533000.0,702500,865000,900000,815000.0,965000.0,965000.0,18.0,202.0,11.7,21345
KILLARA (WODONGA),351000.0,346000.0,360000.0,425000.0,400000.0,420000.0,453500.0,447500,560000,658500,650000.0,655000.0,655000.0,1.0,89.0,6.6,21347
KILMORE,327500.0,319000.0,336500.0,333000.0,387500.0,440000.0,435000.0,477000,548000,600000,590000.0,616000.0,616000.0,4.0,93.0,6.8,21352
KILSYTH,435000.0,460000.0,548500.0,620000.0,698500.0,685500.0,645000.0,677500,781000,840000,810000.0,815000.0,815000.0,1.0,77.0,5.9,21354
KILSYTH SOUTH,542500.0,575000.0,676000.0,738000.0,845000.0,826000.0,780500.0,870000,977500,1080000,1045000.0,1105000.0,1105000.0,6.0,92.0,6.8,21355
KINGLAKE,330000.0,318000.0,340000.0,346000.0,458000.0,480000.0,555000.0,600000,640000,770000,662500.0,775000.0,775000.0,17.0,144.0,9.3,21358
KINGS PARK,315000.0,325000.0,355000.0,415000.0,532500.0,550000.0,510000.0,550000,600000,630000,599500.0,615500.0,615500.0,3.0,89.0,6.6,21362
KINGSBURY,470000.0,502500.0,560000.0,610000.0,731000.0,730000.0,660000.0,732500,850000,782000,792500.0,862500.0,862500.0,9.0,72.0,5.6,21363
KINGSVILLE,635000.0,703500.0,785000.0,925000.0,1020000.0,990000.0,1010000.0,970000,1225000,1287500,1200000.0,1122500.0,1122500.0,6.0,60.0,4.8,21365
KNOXFIELD,500000.0,580000.0,681000.0,741000.0,870000.0,815000.0,760000.0,810000,980000,970000,950000.0,931000.0,931000.0,2.0,60.0,4.8,21374
KOO WEE RUP,315000.0,335000.0,345000.0,400000.0,450500.0,508500.0,550000.0,540000,610000,700000,670000.0,666500.0,666500.0,1.0,99.0,7.1,21380
KOONDROOK,147500.0,155000.0,198500.0,165000.0,247500.0,268000.0,212500.0,254000,320000,320000,320000.0,385000.0,385000.0,20.0,148.0,9.5,21384
KOROIT,275000.0,300000.0,296000.0,294000.0,325000.0,352000.0,347500.0,390000,490000,580000,612500.0,600000.0,600000.0,2.0,100.0,7.2,21396
KORUMBURRA,236000.0,222500.0,262500.0,257500.0,292000.0,317500.0,320000.0,391000,480000,525000,550000.0,550000.0,550000.0,0.0,147.0,9.5,21399
KURUNJANG,287000.0,280000.0,289500.0,310000.0,370000.0,435000.0,420000.0,432000,485000,550000,520000.0,520000.0,520000.0,0.0,86.0,6.4,21411
KYABRAM,237000.0,235000.0,240000.0,234000.0,239000.0,261000.0,263000.0,280000,319500,400000,455000.0,450000.0,450000.0,1.0,91.0,6.7,21412
KYNETON,369000.0,400000.0,425500.0,455000.0,495000.0,550000.0,595000.0,614000,755000,897500,775000.0,780000.0,780000.0,1.0,95.0,6.9,21414
LAKE BOGA,200000.0,143500.0,245000.0,222500.0,182500.0,232500.0,239000.0,230000,320000,391000,446000.0,555000.0,555000.0,24.0,287.0,14.5,21427
LAKE BUNGA,197500.0,162500.0,270000.0,270000.0,392500.0,380000.0,300000.0,350000,600000,650000,,,,,,,21429
LAKE GARDENS,445000.0,445000.0,461000.0,485000.0,461500.0,575000.0,552500.0,607500,705000,738500,785000.0,745000.0,745000.0,5.0,67.0,5.3,21435
LAKE TYERS BEACH,270000.0,354000.0,330000.0,268500.0,362500.0,300000.0,357500.0,375000,505000,645000,590000.0,552500.0,552500.0,6.0,56.0,4.6,21444
LAKE WENDOUREE,634000.0,650000.0,685000.0,700000.0,795000.0,775000.0,855000.0,1000000,1230000,1275000,1312500.0,1292500.0,1292500.0,2.0,99.0,7.1,21447
LAKES ENTRANCE,269500.0,254000.0,255500.0,280000.0,281500.0,328000.0,300000.0,350000,422500,540000,510000.0,520000.0,520000.0,2.0,105.0,7.4,21449
LALOR,365000.0,385000.0,445000.0,499500.0,625500.0,625000.0,590000.0,623000,700000,700000,680500.0,700000.0,700000.0,3.0,82.0,6.2,21452
LANCEFIELD,377500.0,362000.0,360000.0,360000.0,416000.0,456000.0,500000.0,540000,685000,671500,625000.0,670000.0,670000.0,7.0,85.0,6.3,21456
LANG LANG,285000.0,295000.0,316500.0,355000.0,390000.0,475000.0,495000.0,540000,657000,720000,707500.0,715000.0,715000.0,1.0,142.0,9.3,21459
LANGWARRIN,385000.0,420000.0,450000.0,503000.0,600000.0,642500.0,610000.0,660000,805000,860000,835000.0,858000.0,858000.0,3.0,104.0,7.4,21467
LARA,350000.0,340000.0,348000.0,355000.0,430000.0,515000.0,495000.0,535000,682500,700000,685000.0,678000.0,678000.0,1.0,99.0,7.1,21469
LAUNCHING PLACE,330000.0,337500.0,366000.0,435000.0,490000.0,531000.0,554000.0,572500,688500,778500,650000.0,689000.0,689000.0,6.0,104.0,7.4,21473
LAVERTON,325000.0,358000.0,377500.0,429000.0,535000.0,579000.0,529000.0,560000,605000,610000,582500.0,590000.0,590000.0,1.0,65.0,5.1,21476
LENEVA,361500.0,372500.0,370500.0,376000.0,397500.0,387500.0,426000.0,470000,554000,650000,685000.0,675000.0,675000.0,1.0,81.0,6.1,21488
LEONGATHA,300000.0,295500.0,305000.0,305000.0,320000.0,360000.0,370000.0,426000,505000,589000,580000.0,572500.0,572500.0,1.0,94.0,6.8,21490
LEOPOLD,360000.0,366500.0,365000.0,407000.0,447000.0,500500.0,510000.0,535000,652000,709000,682500.0,662000.0,662000.0,3.0,81.0,6.1,21493
LILYDALE,469000.0,482500.0,534000.0,633500.0,710500.0,705000.0,675500.0,710000,844500,870000,925000.0,865000.0,865000.0,6.0,79.0,6.0,21504
LINDENOW,200000.0,226000.0,212500.0,212000.0,245000.0,313500.0,282500.0,282500,385000,466000,372500.0,470000.0,470000.0,26.0,108.0,7.6,21509
LISMORE,110000.0,109000.0,115000.0,141500.0,155000.0,132500.0,144500.0,220000,176000,277500,,,,,,,21516
LOCH SPORT,166000.0,153500.0,145000.0,178000.0,182000.0,230000.0,245000.0,247000,324500,392500,390000.0,365000.0,365000.0,6.0,138.0,9.0,21524
LONG GULLY,230000.0,255000.0,244000.0,240000.0,256000.0,269000.0,280000.0,299500,385000,451500,400000.0,450000.0,450000.0,13.0,76.0,5.8,21534
LONGWARRY,289500.0,297500.0,307000.0,334000.0,377000.0,403000.0,406000.0,427500,512500,575000,572500.0,585000.0,585000.0,2.0,97.0,7.0,21538
LORNE,840000.0,815000.0,895000.0,765000.0,1150000.0,1275000.0,1297500.0,1497500,1960000,2200000,2030000.0,1930000.0,1930000.0,5.0,137.0,9.0,21542
LOVELY BANKS,360500.0,406500.0,388500.0,470000.0,460000.0,525000.0,570000.0,565000,662500,767500,690000.0,758500.0,758500.0,10.0,87.0,6.4,21544
LOWER PLENTY,680500.0,675000.0,770000.0,900000.0,980000.0,1055000.0,950000.0,909500,1220000,1350000,1344500.0,1340000.0,1340000.0,0.0,99.0,7.1,21547
LUCAS,348000.0,355000.0,389000.0,345000.0,349500.0,395000.0,431000.0,465000,582500,705000,640000.0,635000.0,635000.0,1.0,79.0,6.0,21550
LUCKNOW,235000.0,229000.0,230000.0,244500.0,261500.0,280000.0,275000.0,314500,355000,449000,400000.0,562500.0,562500.0,41.0,146.0,9.4,21551
LYNBROOK,430000.0,460000.0,500000.0,542500.0,595000.0,640000.0,623000.0,660000,750000,810000,785000.0,797500.0,797500.0,2.0,73.0,5.7,21554
LYNDHURST,465000.0,482500.0,550000.0,585000.0,625000.0,695000.0,665500.0,701500,815500,950000,905000.0,900500.0,900500.0,1.0,86.0,6.4,21555
LYSTERFIELD,681500.0,670000.0,780000.0,857500.0,995500.0,976500.0,956500.0,994500,1132000,1267500,1307500.0,1331000.0,1331000.0,2.0,99.0,7.1,21558
LYSTERFIELD SOUTH,931500.0,1000000.0,1018500.0,1240000.0,1300000.0,1275000.0,775000.0,1410000,1618000,1844000,,,,,,,21559
MACEDON,490000.0,460000.0,532500.0,585000.0,696000.0,815000.0,800000.0,883000,1130000,1073000,1105000.0,1100000.0,1100000.0,0.0,139.0,9.1,21562
MACLEOD,647500.0,705000.0,755000.0,868000.0,950000.0,922500.0,922500.0,972500,1156500,1135000,1150000.0,1196500.0,1196500.0,4.0,70.0,5.4,21564
MADDINGLEY,316500.0,320000.0,332500.0,345000.0,395000.0,442000.0,460000.0,521000,560000,635000,630000.0,620000.0,620000.0,2.0,94.0,6.8,21569
MAFFRA,229000.0,215000.0,230000.0,258000.0,251500.0,261500.0,255000.0,315000,338000,376500,425000.0,435000.0,435000.0,2.0,102.0,7.3,21571
MAIDEN GULLY,440000.0,415000.0,430000.0,477000.0,471000.0,495500.0,514000.0,579000,725000,760000,797500.0,760000.0,760000.0,5.0,83.0,6.2,21574
MAIDSTONE,535000.0,587500.0,630000.0,695000.0,825000.0,798500.0,779000.0,789500,852500,888000,890000.0,850500.0,850500.0,4.0,45.0,3.8,21575
MALDON,315000.0,325000.0,339000.0,385000.0,426500.0,420000.0,510000.0,546500,624500,735500,742500.0,740000.0,740000.0,0.0,128.0,8.6,21583
MALLACOOTA,285000.0,285000.0,288500.0,325000.0,345000.0,280000.0,406500.0,415000,488500,527500,555000.0,490000.0,490000.0,12.0,72.0,5.6,21584
MALMSBURY,292500.0,317500.0,397500.0,344000.0,447000.0,465000.0,475000.0,505000,757500,785000,767500.0,680500.0,680500.0,11.0,114.0,7.9,21585
MALVERN,1508500.0,1946000.0,2230000.0,2332000.0,2750000.0,2661000.0,2570000.0,2865000,3001000,2935000,3020000.0,3306000.0,3306000.0,9.0,70.0,5.4,21586
MALVERN EAST,1200000.0,1380000.0,1610000.0,1729000.0,1824000.0,1900000.0,1789000.0,1895000,2112500,2282500,2192500.0,2057500.0,2057500.0,6.0,49.0,4.1,21587
MAMBOURIN,,,,,,,,329500,597500,641000,632500.0,631000.0,631000.0,0.0,,,21588
MANIFOLD HEIGHTS,532500.0,489000.0,489500.0,620000.0,721500.0,785500.0,715000.0,825000,924500,1087500,1050000.0,1260000.0,1260000.0,20.0,158.0,9.9,21593
MANOR LAKES,340500.0,360000.0,385000.0,417500.0,490000.0,526000.0,533000.0,570000,595500,645000,640000.0,640000.0,640000.0,0.0,78.0,5.9,21597
MANSFIELD,364000.0,347000.0,367500.0,359000.0,385000.0,430000.0,452500.0,510000,640000,732500,783000.0,750000.0,750000.0,4.0,116.0,8.0,21599
MARIBYRNONG,714000.0,750500.0,837500.0,940000.0,1056000.0,1050000.0,961500.0,936500,1165000,1170000,1110000.0,1250000.0,1250000.0,13.0,67.0,5.2,21604
MARLO,295000.0,285000.0,335500.0,305000.0,432500.0,385000.0,355000.0,405000,435000,686000,,,,,,,21608
MARONG,310000.0,345000.0,364000.0,330000.0,348000.0,365000.0,420000.0,465000,560000,650000,625000.0,650000.0,650000.0,4.0,88.0,6.5,21612
MARSHALL,360000.0,382500.0,377000.0,400000.0,430000.0,468000.0,486500.0,510000,600000,682000,610000.0,625000.0,625000.0,2.0,63.0,5.0,21615
MARYBOROUGH,194000.0,200000.0,192500.0,206500.0,194000.0,229500.0,236000.0,269500,341500,393000,399500.0,388000.0,388000.0,3.0,94.0,6.9,21618
MARYSVILLE,180000.0,125000.0,320000.0,332500.0,383000.0,477500.0,462500.0,475000,675000,755000,692500.0,660000.0,660000.0,5.0,428.0,18.1,21620
MCCRAE,530000.0,535000.0,597500.0,689000.0,775000.0,847500.0,795000.0,952500,1200000,1285000,1325000.0,1300000.0,1300000.0,2.0,143.0,9.3,21625
MCKENZIE HILL,397000.0,140000.0,429500.0,475000.0,471500.0,495000.0,536500.0,544500,700000,755000,833000.0,835000.0,835000.0,0.0,496.0,19.6,21628
MCKINNON,1025000.0,1220000.0,1500000.0,1657500.0,1720000.0,1555000.0,1520500.0,1675000,2010000,1994000,2000000.0,1830000.0,1830000.0,9.0,50.0,4.1,21629
MEADOW HEIGHTS,317000.0,322500.0,350500.0,370000.0,451000.0,510000.0,474000.0,499000,557500,580000,561000.0,595000.0,595000.0,6.0,84.0,6.3,21635
MELTON,245000.0,240000.0,255000.0,280500.0,369000.0,415000.0,385000.0,390000,455000,500000,470500.0,471000.0,471000.0,0.0,96.0,7.0,21642
MELTON SOUTH,230000.0,238000.0,260000.0,276000.0,377000.0,417000.0,390000.0,420000,460000,515000,495000.0,514000.0,514000.0,4.0,116.0,8.0,21643
MELTON WEST,285500.0,290000.0,295000.0,330000.0,409000.0,453000.0,428000.0,470000,515000,551000,550000.0,525000.0,525000.0,5.0,81.0,6.1,21644
MENTONE,705000.0,810000.0,950000.0,982500.0,1097500.0,1080000.0,1031000.0,1050000,1367500,1475000,1332500.0,1320000.0,1320000.0,1.0,63.0,5.0,21648
MENZIES CREEK,515000.0,428000.0,580000.0,597000.0,640000.0,760000.0,682500.0,745000,1020000,960000,876500.0,1010000.0,1010000.0,15.0,136.0,9.0,21649
MERBEIN,140500.0,167000.0,180000.0,170000.0,183500.0,180000.0,210000.0,201500,227500,320000,300000.0,345000.0,345000.0,15.0,107.0,7.5,21653
MERNDA,375000.0,370000.0,410000.0,430000.0,525000.0,573500.0,552000.0,570000,670000,680000,670000.0,700000.0,700000.0,4.0,89.0,6.6,21659
MERRIGUM,160500.0,149000.0,209500.0,164500.0,160000.0,190000.0,270000.0,179000,255000,266500,275000.0,262500.0,262500.0,5.0,76.0,5.8,21665
METUNG,337500.0,287500.0,299000.0,360000.0,347500.0,371500.0,455000.0,480000,517500,747500,771000.0,691500.0,691500.0,10.0,141.0,9.2,21673
MICKLEHAM,213000.0,168000.0,390000.0,437000.0,500000.0,520000.0,525000.0,565000,623000,680000,680000.0,675500.0,675500.0,1.0,302.0,14.9,21675
MIDDLE PARK,1587500.0,2125000.0,2317000.0,2238500.0,2390000.0,2685000.0,2775000.0,2680000,2864000,2750000,2485000.0,2563500.0,2563500.0,3.0,21.0,1.9,21677
MILDURA,225500.0,245000.0,252000.0,260000.0,264000.0,281500.0,310000.0,337000,380000,425000,436000.0,460000.0,460000.0,6.0,88.0,6.5,21682
MILL PARK,408000.0,430500.0,480000.0,560000.0,668500.0,657000.0,654000.0,690000,754500,786000,780000.0,785000.0,785000.0,1.0,82.0,6.2,21683
MILLGROVE,245000.0,260000.0,275000.0,293500.0,343000.0,411000.0,415000.0,425000,540000,600000,564000.0,590000.0,590000.0,5.0,127.0,8.5,21685
MINERS REST,330000.0,327500.0,335000.0,334000.0,370000.0,400000.0,427500.0,440000,530000,599500,590000.0,575000.0,575000.0,3.0,76.0,5.8,21691
MINYIP,73500.0,95000.0,93000.0,82500.0,94000.0,81000.0,114500.0,75000,151500,155000,164500.0,179500.0,179500.0,9.0,89.0,6.6,21698
MIRBOO NORTH,265000.0,250000.0,262000.0,275000.0,264000.0,307500.0,327500.0,376000,475000,565000,560000.0,494000.0,494000.0,12.0,98.0,7.0,21703
MITCHAM,650000.0,730000.0,885500.0,941000.0,1070000.0,998000.0,942000.0,1066500,1212500,1200000,1210000.0,1180000.0,1180000.0,2.0,62.0,4.9,21706
MITCHELL PARK,267000.0,267500.0,260000.0,259000.0,263000.0,304500.0,313000.0,330000,400000,486500,462500.0,440000.0,440000.0,5.0,65.0,5.1,21707
MOE,155000.0,170000.0,162500.0,173000.0,175000.0,200000.0,210000.0,250000,315000,370000,365000.0,360000.0,360000.0,1.0,112.0,7.8,21716
MONBULK,395000.0,425000.0,471500.0,521500.0,608000.0,650000.0,630000.0,650000,790000,799000,770000.0,790000.0,790000.0,3.0,86.0,6.4,21727
MONT ALBERT,1316000.0,1490000.0,1863000.0,1921000.0,2100000.0,1990000.0,1690000.0,2170000,2372500,2320000,2499000.0,2428000.0,2428000.0,3.0,63.0,5.0,21732
MONT ALBERT NORTH,995000.0,1100000.0,1400000.0,1490000.0,1565000.0,1460000.0,1380000.0,1437000,1580000,1643000,1709000.0,1572500.0,1572500.0,8.0,43.0,3.6,21733
MONTMORENCY,570000.0,614000.0,732000.0,780500.0,890000.0,926000.0,860000.0,913000,1162000,1110000,1120000.0,1150000.0,1150000.0,3.0,87.0,6.5,21735
MONTROSE,445000.0,476500.0,559000.0,625000.0,700500.0,737500.0,707500.0,730000,842500,913500,846000.0,883500.0,883500.0,4.0,86.0,6.4,21736
MOONEE PONDS,830500.0,920000.0,1006000.0,1110500.0,1310000.0,1360000.0,1300000.0,1290000,1545000,1582500,1542500.0,1512500.0,1512500.0,2.0,64.0,5.1,21742
MOORABBIN,682000.0,768000.0,855000.0,980000.0,1160000.0,1130000.0,1065000.0,1075000,1400000,1391500,1300000.0,1286500.0,1286500.0,1.0,67.0,5.3,21746
MOOROOLBARK,440000.0,465000.0,558500.0,620000.0,725000.0,720000.0,670000.0,720000,836000,870000,820000.0,857500.0,857500.0,5.0,84.0,6.3,21755
MOOROOPNA,207500.0,215000.0,230000.0,215500.0,225000.0,230000.0,247500.0,268500,335000,385000,377500.0,400000.0,400000.0,6.0,86.0,6.4,21756
MORDIALLOC,680000.0,755000.0,850000.0,933000.0,1120000.0,1046500.0,1017500.0,1089000,1375000,1296500,1400000.0,1392500.0,1392500.0,1.0,84.0,6.3,21760
MORNINGTON,525000.0,558000.0,641000.0,745000.0,800000.0,850000.0,810000.0,894000,1100000,1160000,1080000.0,1100000.0,1100000.0,2.0,97.0,7.0,21763
MORTLAKE,129500.0,152500.0,120000.0,152000.0,170000.0,165000.0,164000.0,220000,290500,327500,349000.0,354500.0,354500.0,2.0,133.0,8.8,21767
MORWELL,160000.0,150000.0,151000.0,153000.0,170000.0,167000.0,179000.0,200000,275000,325000,333500.0,335000.0,335000.0,0.0,123.0,8.4,21769
MOUNT BEAUTY,180000.0,200000.0,189500.0,183000.0,258000.0,267500.0,295000.0,330000,446000,572500,550000.0,600000.0,600000.0,9.0,200.0,11.6,21772
MOUNT CLEAR,286000.0,288000.0,322500.0,345000.0,345000.0,379000.0,396500.0,414000,505000,515000,522500.0,505000.0,505000.0,3.0,75.0,5.8,21783
MOUNT COTTRELL,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,927500.0,927500,540000,622000,602000.0,662000.0,662000.0,10.0,63.0,9.5,21786
MOUNT DANDENONG,450000.0,610000.0,612500.0,641000.0,847000.0,647500.0,690000.0,791000,850000,1045000,887500.0,852500.0,852500.0,4.0,40.0,3.4,21787
MOUNT DUNEED,286000.0,532000.0,545000.0,425000.0,497500.0,555000.0,557000.0,593000,696000,750000,720000.0,707500.0,707500.0,2.0,33.0,2.9,21790
MOUNT ELIZA,750000.0,777500.0,832000.0,950000.0,1137500.0,1220000.0,1180000.0,1313000,1700000,1730500,1700000.0,1587500.0,1587500.0,7.0,104.0,7.4,21793
MOUNT EVELYN,406000.0,428500.0,493500.0,551000.0,640000.0,671500.0,636000.0,710000,820000,877500,830000.0,825000.0,825000.0,1.0,93.0,6.8,21795
MOUNT HELEN,344000.0,368000.0,342000.0,355000.0,376000.0,420000.0,417000.0,472500,610000,632500,580000.0,642500.0,642500.0,11.0,75.0,5.7,21798
MOUNT MACEDON,662500.0,600000.0,635000.0,750000.0,665000.0,859000.0,775000.0,1043000,1623500,1330000,1446000.0,989000.0,989000.0,32.0,65.0,5.1,21801
MOUNT MARTHA,730000.0,745000.0,785000.0,965000.0,1050000.0,1202500.0,1262500.0,1420000,1845000,1880000,1820000.0,1870000.0,1870000.0,3.0,151.0,9.6,21803
MOUNT PLEASANT,276500.0,269500.0,293500.0,297500.0,293000.0,350000.0,377500.0,415000,498000,530000,500000.0,472500.0,472500.0,6.0,75.0,5.8,21807
MOUNT WAVERLEY,820000.0,950000.0,1267500.0,1265000.0,1416000.0,1320000.0,1270500.0,1300000,1511000,1509000,1600000.0,1615000.0,1615000.0,1.0,70.0,5.4,21816
MULGRAVE,577500.0,627000.0,765500.0,786000.0,900500.0,860000.0,840000.0,850000,1000000,996000,1040000.0,1057000.0,1057000.0,2.0,69.0,5.4,21827
MURCHISON,186000.0,155000.0,165000.0,187000.0,254500.0,225000.0,244500.0,291500,400000,450000,340000.0,465000.0,465000.0,37.0,200.0,11.6,21832
MURRUMBEENA,870000.0,982500.0,1204000.0,1286000.0,1420000.0,1343500.0,1241500.0,1405000,1695000,1670000,1650000.0,1706000.0,1706000.0,3.0,74.0,5.7,21849
MURTOA,95000.0,110000.0,91000.0,97500.0,115000.0,110000.0,119000.0,130000,145000,244500,267500.0,280000.0,280000.0,5.0,155.0,9.8,21850
MYRTLEFORD,220000.0,245000.0,242000.0,270500.0,265000.0,295000.0,325000.0,385000,530000,609000,592500.0,582500.0,582500.0,2.0,138.0,9.0,21863
NAGAMBIE,312500.0,378000.0,360500.0,336000.0,330000.0,385000.0,414000.0,460000,545000,655000,645000.0,630000.0,630000.0,2.0,67.0,5.2,21867
NARRE WARREN,370000.0,386000.0,430000.0,487000.0,590000.0,614000.0,587000.0,610000,700000,740000,727000.0,750000.0,750000.0,3.0,94.0,6.9,21893
NARRE WARREN NORTH,680000.0,822500.0,771500.0,900000.0,1108000.0,1180000.0,1070000.0,1167500,1421500,1600000,1580000.0,1685000.0,1685000.0,7.0,105.0,7.4,21895
